month,S&P 500,S&P 500 TR,Nikkei 225,Nikkei 225 TR
,https://www.investing.com/indices/us-spx-500-historical-data,https://www.investing.com/indices/s-p-500-tr-historical-data,,
Aug-99,"1,320.41",,"17,436.56",
Jul-99,"1,328.72",,"17,861.86",
Jun-99,"1,372.71",,"17,529.74",
May-99,"1,301.84",,"16,111.65",
Apr-99,"1,335.18",,"16,701.53",
Mar-99,"1,286.37",,"15,836.59",
Feb-99,"1,238.33",,"14,367.54",
Jan-99,"1,279.64",,"14,499.25",
Dec-98,"1,229.23",,"13,842.17",
Nov-98,"1,163.63",,"14,883.70",
Oct-98,"1,098.67",,"13,564.51",
Sep-98,"1,017.01",,"13,406.39",
Aug-98,957.28,,"14,107.89",
Jul-98,"1,120.67",,"16,378.97",
Jun-98,"1,133.84",,"15,830.27",
May-98,"1,090.82",,"15,670.78",
Apr-98,"1,111.75",,"15,641.26",
Mar-98,"1,101.75",,"16,527.00",
Feb-98,"1,049.34",,"16,832.00",
Jan-98,980.28,,"16,628.00",
Dec-97,970.43,,"15,259.00",
Nov-97,955.4,,"16,633.00",
Oct-97,914.62,,"16,459.00",
Sep-97,947.28,,"17,888.00",
Aug-97,899.47,,"18,229.00",
Jul-97,954.31,,"20,331.00",
Jun-97,885.14,,"20,605.00",
May-97,848.28,,"20,069.00",
Apr-97,801.34,,"19,151.00",
Mar-97,757.12,,"18,003.00",
Feb-97,790.82,,"18,557.00",
Jan-97,786.16,,"18,330.00",
Dec-96,740.74,,"19,361.00",
Nov-96,757.02,,"21,020.00",
Oct-96,705.27,,"20,467.00",
Sep-96,687.33,,"21,556.00",
Aug-96,651.99,,"20,167.00",
Jul-96,639.95,,"20,693.00",
Jun-96,670.63,,"22,531.00",
May-96,669.12,,"21,956.00",
Apr-96,654.17,,"22,041.00",
Mar-96,645.5,,"21,407.00",
Feb-96,640.43,,"20,125.00",
Jan-96,636.02,,"20,813.00",
Dec-95,615.93,,"19,868.00",
Nov-95,605.37,,"18,744.00",
Oct-95,581.5,,"17,655.00",
Sep-95,584.41,,"17,913.00",
Aug-95,561.88,,"18,117.00",
Jul-95,562.06,,"16,678.00",
Jun-95,544.75,,"14,517.00",
May-95,533.4,,"15,437.00",
Apr-95,514.71,,"16,807.00",
Mar-95,500.71,,"16,140.00",
Feb-95,487.39,,"17,053.00",
Jan-95,470.42,,"18,650.00",
Dec-94,459.27,,"19,723.00",
Nov-94,453.69,,"19,076.00",
Oct-94,472.35,,"19,990.00",
Sep-94,462.71,,"19,564.00",
Aug-94,475.49,,"20,629.00",
Jul-94,458.26,,"20,449.00",
Jun-94,444.27,,"20,644.00",
May-94,456.5,,"20,974.00",
Apr-94,450.91,,"19,725.00",
Mar-94,445.77,,"19,112.00",
Feb-94,467.14,,"19,997.00",
Jan-94,481.61,,"20,229.00",
Dec-93,466.45,,"17,417.00",
Nov-93,461.79,,"16,407.00",
Oct-93,467.83,,"19,703.00",
Sep-93,458.93,,"20,106.00",
Aug-93,463.56,,"21,027.00",
Jul-93,448.13,,"20,380.00",
Jun-93,450.53,,"19,590.00",
May-93,450.19,,"20,552.00",
Apr-93,440.19,,"20,919.00",
Mar-93,451.67,,"18,591.00",
Feb-93,443.38,,"16,953.00",
Jan-93,438.78,,"17,024.00",
Dec-92,435.71,,"16,925.00",
Nov-92,431.35,,"17,684.00",
Oct-92,418.68,,"16,767.00",
Sep-92,417.8,,"17,399.00",
Aug-92,414.03,,"18,061.00",
Jul-92,424.21,,"15,910.00",
Jun-92,408.14,,"15,952.00",
May-92,415.35,,"18,348.00",
Apr-92,414.95,,"17,391.00",
Mar-92,403.69,,"19,346.00",
Feb-92,412.7,,"21,339.00",
Jan-92,408.78,,"22,023.00",
Dec-91,417.09,,"22,984.00",
Nov-91,375.22,,"22,687.00",
Oct-91,392.45,,"25,222.00",
Sep-91,387.86,,"23,916.00",
Aug-91,395.43,,"22,336.00",
Jul-91,387.81,,"24,121.00",
Jun-91,371.16,,"23,291.00",
May-91,389.83,,"25,790.00",
Apr-91,375.34,,"26,111.00",
Mar-91,375.22,,"26,292.00",
Feb-91,367.07,,"26,409.00",
Jan-91,343.93,,"23,293.00",
Dec-90,330.22,,"23,849.00",
Nov-90,322.22,,"22,455.00",
Oct-90,304,,"25,194.00",
Sep-90,306.05,,"20,984.00",
Aug-90,322.56,,"25,978.00",
Jul-90,356.15,,"31,036.00",
Jun-90,358.02,,"31,940.00",
May-90,361.23,,"33,131.00",
Apr-90,330.8,,"29,585.00",
Mar-90,339.94,,"29,980.00",
Feb-90,331.89,,"34,592.00",
Jan-90,329.08,,"37,189.00",
Dec-89,353.4,,"38,916.00",
Nov-89,345.99,,"37,269.00",
Oct-89,340.36,,"35,549.00",
Sep-89,349.15,,"35,637.00",
Aug-89,351.45,,"34,431.00",
Jul-89,346.08,,"34,954.00",
Jun-89,317.98,,"32,949.00",
May-89,320.52,,"34,267.00",
Apr-89,309.64,,"33,713.00",
Mar-89,294.87,,"32,839.00",
Feb-89,288.86,,"31,986.00",
Jan-89,297.47,,"31,581.00",
Dec-88,277.72,,"30,159.00",
Nov-88,273.7,,"29,579.00",
Oct-88,278.97,,"27,983.00",
Sep-88,271.91,,"27,924.00",
Aug-88,261.52,,"27,366.00",
Jul-88,272.02,,"28,200.00",
Jun-88,273.5,,"27,769.00",
May-88,262.16,,"27,417.00",
Apr-88,261.33,,"27,510.00",
Mar-88,258.89,,"26,260.00",
Feb-88,267.82,,"25,243.00",
Jan-88,257.07,,"23,719.00",
Dec-87,247.08,,"21,564.00",
Nov-87,230.3,,"22,687.00",
Oct-87,251.79,,"23,329.00",
Sep-87,321.83,,"26,011.00",
Aug-87,329.8,,"26,029.00",
Jul-87,318.66,,"24,488.00",
Jun-87,304,,"24,176.00",
May-87,290.1,,"24,902.00",
Apr-87,288.36,,"23,275.00",
Mar-87,291.7,,"21,567.00",
Feb-87,284.2,,"20,767.00",
Jan-87,274.08,,"20,024.00",
Dec-86,242.17,,"18,701.00",
Nov-86,249.22,,"18,326.00",
Oct-86,243.98,,"16,911.00",
Sep-86,231.32,,"17,853.00",
Aug-86,252.93,,"18,821.00",
Jul-86,236.12,,"17,510.00",
Jun-86,250.84,,"17,654.00",
May-86,247.35,,"16,739.00",
Apr-86,235.52,,"15,826.00",
Mar-86,238.9,,"15,860.00",
